,batch_size,eta_max,eta_min,l,lamda,n_epochs,n_hidden,n_s,test_accuracy,val_accuracy
8,100,0.1,1e-05,-2.5,0.0031622776601683794,8,200,900,0.5466,0.5596
9,100,0.1,1e-05,-2.0,0.01,8,200,900,0.5353,0.5436
4,100,0.1,1e-05,-2.5,0.0031622776601683794,8,150,900,0.5352,0.5464
5,100,0.1,1e-05,-2.0,0.01,8,150,900,0.532,0.5406
1,100,0.1,1e-05,-2.0,0.01,8,100,900,0.5297,0.5396
0,100,0.1,1e-05,-2.5,0.0031622776601683794,8,100,900,0.5291,0.5406
10,100,0.1,1e-05,-1.5,0.03162277660168379,8,200,900,0.4992,0.4968
6,100,0.1,1e-05,-1.5,0.03162277660168379,8,150,900,0.4965,0.4936
2,100,0.1,1e-05,-1.5,0.03162277660168379,8,100,900,0.4938,0.4932
7,100,0.1,1e-05,-1.0,0.1,8,150,900,0.419,0.4108
11,100,0.1,1e-05,-1.0,0.1,8,200,900,0.4188,0.4108
3,100,0.1,1e-05,-1.0,0.1,8,100,900,0.4181,0.4092
