,batch_size,eta_max,eta_min,l,lamda,n_epochs,n_hidden,n_s,test_accuracy,val_accuracy
8,100,0.1,1e-05,-2.0391204246126224,0.00913859804052031,32,50,1800,0.528,0.5382
4,100,0.1,1e-05,-2.1506079507242726,0.007069554539424801,32,50,1800,0.5276,0.5246
3,100,0.1,1e-05,-2.1515751901529954,0.007053827093527058,32,50,1800,0.5272,0.538
5,100,0.1,1e-05,-2.2942343532572416,0.005078853043892334,32,50,1800,0.5269,0.5308
7,100,0.1,1e-05,-2.0867246419780354,0.008189838882296283,32,50,1800,0.5254,0.5306
2,100,0.1,1e-05,-2.026821241061257,0.009401101874999724,32,50,1800,0.5249,0.5336
1,100,0.1,1e-05,-2.025835389707359,0.00942246667854697,32,50,1800,0.5231,0.5342
6,100,0.1,1e-05,-2.438047533894752,0.003647140264853497,32,50,1800,0.5225,0.538
0,100,0.1,1e-05,-2.2470213916982673,0.005662113989263314,32,50,1800,0.5225,0.5318
9,100,0.1,1e-05,-2.2400667215544674,0.005753515381067293,32,50,1800,0.5198,0.5312
