,batch_normalisation,batch_size,eta_max,eta_min,hidden_nodes,lamda,n_cycles,n_s,number_layers,test_accuracy,val_accuracy
4,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.01,1,2250.0,6,0.5337,0.539
0,True,100,0.1,1e-05,"[50, 50, 50]",0.01,1,2250.0,4,0.5316,0.5426
1,True,100,0.1,1e-05,"[50, 50, 50]",0.005,1,2250.0,4,0.5302,0.537
5,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.005,1,2250.0,6,0.5264,0.5384
8,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.01,1,2250.0,8,0.5248,0.5286
9,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.005,1,2250.0,8,0.519,0.5268
13,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.005,1,2250.0,10,0.5154,0.516
17,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.005,1,2250.0,12,0.5111,0.5128
12,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.01,1,2250.0,10,0.5108,0.5222
16,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.01,1,2250.0,12,0.5094,0.515
20,True,100,0.1,1e-05,"[50, 50, 50]",0.05,1,2250.0,4,0.5082,0.5062
2,True,100,0.1,1e-05,"[50, 50, 50]",0.001,1,2250.0,4,0.5014,0.5154
10,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.001,1,2250.0,8,0.4994,0.5
22,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.05,1,2250.0,6,0.4988,0.4904
14,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.001,1,2250.0,10,0.4969,0.4954
6,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.001,1,2250.0,6,0.4963,0.5054
3,True,100,0.1,1e-05,"[50, 50, 50]",0.0005,1,2250.0,4,0.4944,0.4984
21,True,100,0.1,1e-05,"[50, 50, 50]",0.1,1,2250.0,4,0.4918,0.493
7,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.0005,1,2250.0,6,0.4874,0.4896
11,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.0005,1,2250.0,8,0.4869,0.496
18,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.001,1,2250.0,12,0.4867,0.4882
19,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.0005,1,2250.0,12,0.4849,0.4852
15,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.0005,1,2250.0,10,0.4789,0.4826
24,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.05,1,2250.0,8,0.4685,0.471
23,True,100,0.1,1e-05,"[50, 50, 50, 50, 50]",0.1,1,2250.0,6,0.4388,0.4388
26,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.05,1,2250.0,10,0.4147,0.4088
25,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50]",0.1,1,2250.0,8,0.3366,0.3308
28,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.05,1,2250.0,12,0.3026,0.2994
27,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50]",0.1,1,2250.0,10,0.3007,0.2884
29,True,100,0.1,1e-05,"[50, 50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",0.1,1,2250.0,12,0.2348,0.241
