,batch_normalisation,batch_size,eta_max,eta_min,hidden_nodes,l,lamda,n_cycles,n_s,test_accuracy,val_accuracy
6,True,100,0.1,1e-05,"[50, 50]",-2.4488574033610058,0.0035574810604650973,2,2250.0,0.5396,0.5352
3,True,100,0.1,1e-05,"[50, 50]",-2.14275736762414,0.007198510332758482,2,2250.0,0.5363,0.546
5,True,100,0.1,1e-05,"[50, 50]",-2.3769046807870287,0.004198511230551909,2,2250.0,0.5361,0.5354
8,True,100,0.1,1e-05,"[50, 50]",-2.3288837516765835,0.004689388869961893,2,2250.0,0.5352,0.5426
2,True,100,0.1,1e-05,"[50, 50]",-2.4883044016506006,0.003248595200544117,2,2250.0,0.5349,0.5526
1,True,100,0.1,1e-05,"[50, 50]",-2.168260786120767,0.006787959053311836,2,2250.0,0.5349,0.5452
4,True,100,0.1,1e-05,"[50, 50]",-2.2443172122945985,0.005697479716166599,2,2250.0,0.5347,0.5504
9,True,100,0.1,1e-05,"[50, 50]",-2.2431846574793957,0.005712357015725472,2,2250.0,0.5329,0.5428
0,True,100,0.1,1e-05,"[50, 50]",-2.479224878105516,0.0033172264676512493,2,2250.0,0.5321,0.5416
7,True,100,0.1,1e-05,"[50, 50]",-2.1373835119351634,0.0072881363337465544,2,2250.0,0.5305,0.5474
