,batch_normalisation,batch_size,eta_max,eta_min,hidden_nodes,l,lamda,n_cycles,n_s,test_accuracy,val_accuracy
6,True,100,0.1,1e-05,"[50, 50]",-2.17590971872749,0.0066694539962178934,2,2250.0,0.5385,0.5434
17,True,100,0.1,1e-05,"[50, 50]",-2.446686397091926,0.0035753091710060275,2,2250.0,0.5374,0.548
1,True,100,0.1,1e-05,"[50, 50]",-2.31720339974644,0.004817221325245687,2,2250.0,0.5371,0.537
4,True,100,0.1,1e-05,"[50, 50]",-2.441082816571143,0.0036217392808740702,2,2250.0,0.537,0.5502
19,True,100,0.1,1e-05,"[50, 50]",-2.4316462564028503,0.0037012953669452583,2,2250.0,0.537,0.5434
3,True,100,0.1,1e-05,"[50, 50]",-2.378997797820911,0.00417832485346415,2,2250.0,0.5362,0.5486
8,True,100,0.1,1e-05,"[50, 50]",-2.3999720719041235,0.003981327723817336,2,2250.0,0.5355,0.5514
14,True,100,0.1,1e-05,"[50, 50]",-2.3840404921832645,0.004130089926004093,2,2250.0,0.5346,0.5472
10,True,100,0.1,1e-05,"[50, 50]",-2.2943215296607633,0.0050778336625132425,2,2250.0,0.5341,0.542
12,True,100,0.1,1e-05,"[50, 50]",-2.177113770299551,0.006650989002155219,2,2250.0,0.534,0.5392
9,True,100,0.1,1e-05,"[50, 50]",-2.36615384982399,0.0043037412245609105,2,2250.0,0.5339,0.548
2,True,100,0.1,1e-05,"[50, 50]",-2.425964090147659,0.003750040083540303,2,2250.0,0.5337,0.5384
18,True,100,0.1,1e-05,"[50, 50]",-2.333733816974424,0.004637310576217763,2,2250.0,0.5333,0.5488
11,True,100,0.1,1e-05,"[50, 50]",-2.3101348695495436,0.004896267428495869,2,2250.0,0.5329,0.5502
16,True,100,0.1,1e-05,"[50, 50]",-2.438654164712617,0.0036420494260688985,2,2250.0,0.5327,0.5456
15,True,100,0.1,1e-05,"[50, 50]",-2.3342307316975974,0.004632007653441262,2,2250.0,0.5322,0.5414
0,True,100,0.1,1e-05,"[50, 50]",-2.2715848425093244,0.005350756127417034,2,2250.0,0.532,0.5508
5,True,100,0.1,1e-05,"[50, 50]",-2.2016214285363667,0.0062860607157782305,2,2250.0,0.5306,0.5436
7,True,100,0.1,1e-05,"[50, 50]",-2.34172267289338,0.004552786943247984,2,2250.0,0.5302,0.537
13,True,100,0.1,1e-05,"[50, 50]",-2.4458448026453694,0.0035822442756384644,2,2250.0,0.5296,0.552
